Running pytorch 2.2.0+cu121
wandb: Using wandb-core as the SDK backend. Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: alexandretl. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.18.1
wandb: Run data is saved locally in /workspace/arena/wandb/run-20240918_091656-k1wr447g
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run peach-dust-59
wandb: ⭐️ View project at https://wandb.ai/alexandretl/arena
wandb: 🚀 View run at https://wandb.ai/alexandretl/arena/runs/k1wr447g
DataLoader: total number of tokens: 10,255,324,043 across 103 files
DataLoader: total number of tokens: 100,000,000 across 1 files
Model initialized. Number of parameters : 123532032.
compiling the model...
/usr/local/lib/python3.10/dist-packages/torch/_inductor/compile_fx.py:140: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(
val loss 10.990180015563965
step   57/8200 | train loss 6.565482 | lr 5.13e-04 | (3955.85 ms | 4142 tok/s)
step   58/8200 | train loss 6.558133 | lr 5.22e-04 | (3955.65 ms | 4142 tok/s)
step   59/8200 | train loss 6.503211 | lr 5.31e-04 | (3958.40 ms | 4139 tok/s)
step   60/8200 | train loss 6.490850 | lr 5.40e-04 | (3958.58 ms | 4139 tok/s)
step   61/8200 | train loss 6.515416 | lr 5.49e-04 | (3958.64 ms | 4139 tok/s)
step   62/8200 | train loss 6.457860 | lr 5.58e-04 | (3958.20 ms | 4139 tok/s)
step   63/8200 | train loss 6.553563 | lr 5.67e-04 | (3958.44 ms | 4139 tok/s)
step   64/8200 | train loss 6.428977 | lr 5.76e-04 | (3957.76 ms | 4140 tok/s)
val loss 6.538759708404541
step   65/8200 | train loss 6.403536 | lr 5.85e-04 | (6620.58 ms | 2475 tok/s)
step   66/8200 | train loss 6.400589 | lr 5.94e-04 | (3960.20 ms | 4137 tok/s)
step   67/8200 | train loss 6.443583 | lr 6.03e-04 | (3960.68 ms | 4137 tok/s)
step   68/8200 | train loss 6.428602 | lr 6.12e-04 | (3961.06 ms | 4136 tok/s)
step   69/8200 | train loss 6.387649 | lr 6.21e-04 | (3961.12 ms | 4136 tok/s)
step   70/8200 | train loss 6.366267 | lr 6.30e-04 | (3962.23 ms | 4135 tok/s)
step   71/8200 | train loss 6.347835 | lr 6.39e-04 | (3961.62 ms | 4136 tok/s)
step   72/8200 | train loss 6.292160 | lr 6.48e-04 | (3961.45 ms | 4136 tok/s)
step   73/8200 | train loss 6.358681 | lr 6.57e-04 | (3960.86 ms | 4136 tok/s)
step   74/8200 | train loss 6.269274 | lr 6.66e-04 | (3960.97 ms | 4136 tok/s)
step   75/8200 | train loss 6.301589 | lr 6.75e-04 | (3961.03 ms | 4136 tok/s)
step   76/8200 | train loss 6.248122 | lr 6.84e-04 | (3960.84 ms | 4136 tok/s)
step   77/8200 | train loss 6.308479 | lr 6.93e-04 | (3961.63 ms | 4136 tok/s)
step   78/8200 | train loss 6.302397 | lr 7.02e-04 | (3962.34 ms | 4135 tok/s)
step   79/8200 | train loss 6.068053 | lr 7.11e-04 | (3960.11 ms | 4137 tok/s)
step   80/8200 | train loss 6.212278 | lr 7.20e-04 | (3960.31 ms | 4137 tok/s)
step   81/8200 | train loss 6.197037 | lr 7.29e-04 | (3961.14 ms | 4136 tok/s)
step   82/8200 | train loss 6.322022 | lr 7.38e-04 | (3962.17 ms | 4135 tok/s)
step   83/8200 | train loss 6.216040 | lr 7.47e-04 | (3961.81 ms | 4135 tok/s)
step   84/8200 | train loss 6.206444 | lr 7.56e-04 | (3960.41 ms | 4137 tok/s)
step   85/8200 | train loss 6.175991 | lr 7.65e-04 | (3960.88 ms | 4136 tok/s)
step   86/8200 | train loss 6.143564 | lr 7.74e-04 | (3962.49 ms | 4135 tok/s)
step   87/8200 | train loss 6.149745 | lr 7.83e-04 | (3959.96 ms | 4137 tok/s)
step   88/8200 | train loss 6.102164 | lr 7.92e-04 | (3962.24 ms | 4135 tok/s)
step   89/8200 | train loss 6.098513 | lr 8.01e-04 | (3960.88 ms | 4136 tok/s)
step   90/8200 | train loss 6.071649 | lr 8.10e-04 | (3959.17 ms | 4138 tok/s)
step   91/8200 | train loss 6.097400 | lr 8.19e-04 | (3959.72 ms | 4138 tok/s)
step   92/8200 | train loss 6.078613 | lr 8.28e-04 | (3960.74 ms | 4137 tok/s)
step   93/8200 | train loss 6.099409 | lr 8.37e-04 | (3958.28 ms | 4139 tok/s)
step   94/8200 | train loss 6.051603 | lr 8.46e-04 | (3959.63 ms | 4138 tok/s)
step   95/8200 | train loss 6.044017 | lr 8.55e-04 | (3961.88 ms | 4135 tok/s)
step   96/8200 | train loss 6.001391 | lr 8.64e-04 | (3959.82 ms | 4138 tok/s)
step   97/8200 | train loss 6.064842 | lr 8.73e-04 | (3961.99 ms | 4135 tok/s)
step   98/8200 | train loss 6.033700 | lr 8.82e-04 | (3960.65 ms | 4137 tok/s)
step   99/8200 | train loss 5.997838 | lr 8.91e-04 | (3961.28 ms | 4136 tok/s)
step  100/8200 | train loss 5.974959 | lr 9.00e-04 | (3959.71 ms | 4138 tok/s)
step  101/8200 | train loss 5.963117 | lr 9.09e-04 | (3961.42 ms | 4136 tok/s)
step  102/8200 | train loss 5.905253 | lr 9.18e-04 | (3960.05 ms | 4137 tok/s)
step  103/8200 | train loss 5.926903 | lr 9.27e-04 | (3961.04 ms | 4136 tok/s)
step  104/8200 | train loss 5.959509 | lr 9.36e-04 | (3960.37 ms | 4137 tok/s)
step  105/8200 | train loss 5.942206 | lr 9.45e-04 | (3960.61 ms | 4137 tok/s)
step  106/8200 | train loss 6.015506 | lr 9.54e-04 | (3960.20 ms | 4137 tok/s)
step  107/8200 | train loss 5.941595 | lr 9.63e-04 | (3960.11 ms | 4137 tok/s)
step  108/8200 | train loss 5.909089 | lr 9.72e-04 | (3961.80 ms | 4135 tok/s)
step  109/8200 | train loss 5.941546 | lr 9.81e-04 | (3960.34 ms | 4137 tok/s)
